,,Summer 2014,Summer 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Fall 2014,Fall 2014,Spring 2015,Spring 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Fall 2015,Fall 2015,Spring 2016,Spring 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Summer 2023
,,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      ,Directed                      ,Directed                      ,Exempted                      ,Exempted                      
College Name,Student Success Service,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         ,Service Received                             ,Service Not Received                         
Pasadena,Credit - Academic/Progress Probation Services                              ,0,,,,1,,,,536,,,,174,,,,222,,,,244,,,,471,,,,210,,,,100,,,,463,,,,123,,,,130,,,,85,,,,162,,,,98,,,,73,,,,26,,,,112,,,,76,,,,78,,,,33,,,,95,,,,59,,,,94,,,,21,,,,37,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
Pasadena,Credit - Counseling/Advisement Services                                    ,0,"15,999",0,"2,062","3,244","31,272",84,"1,819","9,192","26,122",214,"1,112","9,661","17,261",179,633,"11,857","22,518",290,718,"11,544","25,017",257,590,"12,224","15,516",225,369,"11,379","23,170",183,500,"4,869","12,566",82,235,"15,756","21,315",266,387,"11,389","14,707",127,239,"14,711","19,631",177,293,"6,003","12,684",65,167,"12,677","28,942",137,319,"10,363","13,972",107,149,"12,211","32,355",110,221,"5,693","14,940",54,108,"12,893","26,614",107,202,"9,703","38,428",52,252,"11,723","22,906",70,175,"5,363","18,889",48,101,"10,015","38,082",45,203,"6,216","21,631",34,117,"5,980","51,788",34,179,"1,652","17,356",9,82,"6,492","47,138",22,163,"3,102","32,287",16,75,"4,690","32,751",14,130,"4,220","27,140",13,98,"6,694","29,352",8,84,"5,611","34,881",11,98,"5,609","38,892",14,99,"6,608","26,320",14,63
Pasadena,Credit - Education Plan Services                                           ,153,"15,846",22,"2,040","5,588","28,928",109,"1,794","3,574","31,740",64,"1,262","6,515","20,407",108,704,"2,849","31,526",48,960,"9,956","26,605",253,594,"7,690","20,050",165,429,"7,391","27,158",66,617,"2,268","15,167",27,290,"6,351","30,720",107,546,"5,527","20,569",37,329,"6,681","27,661",64,406,"2,260","16,427",14,218,"5,184","36,435",44,412,"5,313","19,022",28,228,"5,642","38,924",40,291,"2,217","18,416",20,142,"6,442","33,065",29,280,"6,355","41,776",28,276,"6,603","28,026",29,216,"2,431","21,821",21,128,"6,175","41,922",22,226,"5,448","22,399",31,120,"4,605","53,163",21,192,"1,004","18,004",3,88,"5,410","48,220",17,168,"3,382","32,007",13,78,"4,473","32,968",10,134,"4,207","27,153",14,97,"7,256","28,790",13,79,"5,765","34,727",14,95,"5,406","39,095",18,95,"7,239","25,689",17,60
Pasadena,Credit - Initial Assessment Services Placement                             ,0,"15,999",0,"2,062","7,680","26,836",365,"1,538","5,898","29,416",111,"1,215","5,557","21,365",66,746,"2,607","31,767",24,985,"5,389","31,171",42,806,"3,685","24,055",15,579,"4,086","30,463",34,649,"1,677","15,758",14,303,"5,248","31,823",28,625,"4,063","22,033",22,344,"2,577","31,765",15,455,"1,703","16,984",6,226,"11,446","30,173",27,429,"2,332","22,003",8,248,"13,539","31,027",4,327,"3,499","17,134",5,157,"8,417","31,090",9,300,"27,861","20,270",144,160,"3,502","31,127",10,235,"7,589","16,663",21,128,"19,945","28,152",39,209,"5,873","21,974",16,135,"30,971","26,797",19,194,"3,498","15,510",3,88,"28,647","24,983",15,170,"15,189","20,200",4,87,"13,746","23,695",16,128,"10,799","20,561",10,101,"17,421","18,625",10,82,"15,614","24,878",13,96,"20,484","24,017",10,103,"11,613","21,315",4,73
Pasadena,Credit - Initial Orientation Services                                      ,0,"15,999",0,"2,062","15,634","18,882",683,"1,220","5,598","29,716",84,"1,242","4,259","22,663",47,765,"2,264","32,111",16,992,"5,848","30,713",44,803,"5,490","22,250",26,568,"1,894","32,655",18,665,"1,700","15,735",16,301,"1,563","35,508",21,632,"6,969","19,127",22,344,"1,583","32,759",10,460,"1,699","16,988",8,224,"1,532","40,087",15,441,"6,597","17,738",22,234,"2,719","41,847",17,314,"2,685","17,948",17,145,"2,184","37,323",11,298,"9,644","38,487",26,278,"2,588","32,041",12,233,"2,852","21,400",20,129,"2,225","45,872",9,239,"8,846","19,001",24,127,"2,993","54,775",11,202,"2,600","16,408",4,87,"1,526","52,104",7,178,"7,844","27,545",15,76,"2,533","34,908",7,137,"2,874","28,486",10,101,"8,241","27,805",17,75,"3,112","37,380",6,103,"3,794","40,707",14,99,"8,652","24,276",9,68
Pasadena,Credit - Other Services                                                    ,0,,,,4,,,,362,,,,438,,,,923,,,,"2,217",,,,"1,087",,,,"2,137",,,,559,,,,"2,124",,,,"1,030",,,,"2,615",,,,842,,,,"1,963",,,,"1,391",,,,"2,324",,,,747,,,,"1,726",,,,"1,643",,,,"3,243",,,,"1,132",,,,"2,039",,,,"1,988",,,,"2,013",,,,43,,,,"1,422",,,,929,,,,"1,959",,,,"1,707",,,,"2,080",,,,"2,650",,,,"1,980",,,,"2,103",,,
