,,Summer 1992,Summer 1992,Fall 1992,Fall 1992,Spring 1993,Spring 1993,Summer 1993,Summer 1993,Fall 1993,Fall 1993,Spring 1994,Spring 1994,Summer 1994,Summer 1994,Fall 1994,Fall 1994,Spring 1995,Spring 1995,Summer 1995,Summer 1995,Fall 1995,Fall 1995,Spring 1996,Spring 1996,Summer 1996,Summer 1996,Fall 1996,Fall 1996,Spring 1997,Spring 1997,Summer 1997,Summer 1997,Fall 1997,Fall 1997,Spring 1998,Spring 1998,Summer 1998,Summer 1998,Fall 1998,Fall 1998,Spring 1999,Spring 1999,Summer 1999,Summer 1999,Fall 1999,Fall 1999,Spring 2000,Spring 2000,Summer 2000,Summer 2000,Fall 2000,Fall 2000,Spring 2001,Spring 2001,Summer 2001,Summer 2001,Fall 2001,Fall 2001,Spring 2002,Spring 2002,Summer 2002,Summer 2002,Fall 2002,Fall 2002,Spring 2003,Spring 2003,Summer 2003,Summer 2003,Fall 2003,Fall 2003,Winter 2004,Winter 2004,Spring 2004,Spring 2004,Summer 2004,Summer 2004,Fall 2004,Fall 2004,Winter 2005,Winter 2005,Spring 2005,Spring 2005,Summer 2005,Summer 2005,Fall 2005,Fall 2005,Winter 2006,Winter 2006,Spring 2006,Spring 2006,Summer 2006,Summer 2006,Fall 2006,Fall 2006,Winter 2007,Winter 2007,Spring 2007,Spring 2007,Summer 2007,Summer 2007,Fall 2007,Fall 2007,Winter 2008,Winter 2008,Spring 2008,Spring 2008,Summer 2008,Summer 2008,Fall 2008,Fall 2008,Winter 2009,Winter 2009,Spring 2009,Spring 2009,Summer 2009,Summer 2009,Fall 2009,Fall 2009,Winter 2010,Winter 2010,Spring 2010,Spring 2010,Summer 2010,Summer 2010,Fall 2010,Fall 2010,Winter 2011,Winter 2011,Spring 2011,Spring 2011,Summer 2011,Summer 2011,Fall 2011,Fall 2011,Winter 2012,Winter 2012,Spring 2012,Spring 2012,Summer 2012,Summer 2012,Fall 2012,Fall 2012,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Summer 2023,Summer 2023
College Name,Citizenship Status,Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%)
Pasadena,U.S. citizen,"5,163",44.23 %,"17,308",56.84 %,"15,731",54.95 %,"5,700",46.32 %,"15,276",55.93 %,"15,571",55.45 %,"5,405",46.12 %,"15,303",55.89 %,"14,413",54.73 %,"4,842",45.22 %,"14,835",56.31 %,"14,662",55.56 %,"5,708",48.93 %,"16,261",59.72 %,"16,947",61.04 %,"8,388",54.31 %,"17,221",60.67 %,"16,886",60.80 %,"8,071",55.30 %,"17,165",60.63 %,"17,031",60.52 %,"8,252",54.73 %,"16,951",67.80 %,"17,590",62.57 %,"8,200",64.43 %,"17,567",69.45 %,"18,625",63.74 %,"10,171",60.74 %,"19,867",65.79 %,"19,862",65.98 %,"11,223",62.98 %,"19,721",70.72 %,"19,854",67.15 %,"7,812",59.38 %,"20,481",68.15 %,"7,200",64.05 %,"19,485",67.80 %,"8,402",64.06 %,"20,579",69.91 %,"8,328",65.44 %,"19,714",69.93 %,"8,607",64.77 %,"20,380",70.51 %,"9,347",66.12 %,"19,767",69.87 %,"9,312",65.11 %,"20,597",70.26 %,"9,631",65.89 %,"19,942",69.88 %,"9,652",65.92 %,"21,142",70.38 %,"10,061",67.12 %,"20,127",69.89 %,"10,196",67.97 %,"21,927",71.81 %,"10,161",68.57 %,"21,884",71.56 %,"9,898",69.09 %,"21,895",72.38 %,"6,418",65.74 %,"21,927",72.93 %,"7,805",67.85 %,"22,750",73.36 %,"6,813",66.20 %,"21,835",73.29 %,"7,430",68.71 %,"21,976",74.15 %,"5,371",66.42 %,"19,951",73.03 %,"4,369",66.23 %,"19,183",73.55 %,"19,851",73.39 %,"11,878",71.10 %,"21,163",76.06 %,"21,003",75.75 %,"13,493",75.20 %,"23,170",76.60 %,"21,742",75.25 %,"13,229",75.32 %,"23,636",76.75 %,"21,635",75.45 %,"13,195",75.73 %,"23,954",77.49 %,"9,778",74.55 %,"22,880",76.72 %,"11,101",77.71 %,"24,088",78.20 %,"10,366",75.58 %,"22,373",77.58 %,"10,714",78.25 %,"23,911",79.40 %,"10,550",77.36 %,"22,353",79.11 %,"11,234",80.64 %,"24,174",80.67 %,"10,880",78.13 %,"22,224",81.24 %,"12,602",83.89 %,"22,167",84.17 %,"10,854",81.92 %,"19,987",84.01 %,"12,226",85.76 %,"18,889",83.95 %,"15,777",82.45 %,"10,903",81.03 %,"19,598",82.14 %,"17,496",79.61 %,"11,676",77.71 %
Pasadena,Permanent Resident,"2,654",22.74 %,"5,882",19.32 %,"5,673",19.82 %,"2,956",24.02 %,"5,946",21.77 %,"6,156",21.92 %,"3,061",26.12 %,"6,498",23.73 %,"6,243",23.71 %,"2,842",26.54 %,"6,201",23.54 %,"6,032",22.86 %,"3,006",25.77 %,"6,033",22.15 %,"5,968",21.49 %,"3,486",22.57 %,"6,014",21.19 %,"5,903",21.26 %,"3,425",23.47 %,"5,952",21.02 %,"6,022",21.40 %,"3,777",25.05 %,"5,639",22.56 %,"6,674",23.74 %,"3,036",23.85 %,"5,584",22.08 %,"7,129",24.40 %,"4,453",26.59 %,"6,948",23.01 %,"6,629",22.02 %,"4,171",23.41 %,"5,479",19.65 %,"6,048",20.45 %,"3,179",24.17 %,"5,875",19.55 %,"2,521",22.42 %,"5,492",19.11 %,"2,726",20.78 %,"5,257",17.86 %,"2,573",20.22 %,"4,974",17.64 %,"2,640",19.87 %,"4,981",17.23 %,"2,716",19.21 %,"4,854",17.16 %,"2,708",18.93 %,"4,920",16.78 %,"2,744",18.77 %,"4,733",16.58 %,"2,587",17.67 %,"4,824",16.06 %,"2,682",17.89 %,"4,740",16.46 %,"2,676",17.84 %,"4,662",15.27 %,"2,584",17.44 %,"4,791",15.67 %,"2,433",16.98 %,"4,601",15.21 %,"1,831",18.75 %,"4,547",15.12 %,"1,992",17.32 %,"4,549",14.67 %,"1,873",18.20 %,"4,335",14.55 %,"1,791",16.56 %,"4,112",13.87 %,"1,425",17.62 %,"3,862",14.14 %,"1,166",17.67 %,"3,615",13.86 %,"3,723",13.76 %,"2,244",13.43 %,"3,366",12.10 %,"3,379",12.19 %,"2,310",12.87 %,"3,631",12.00 %,"3,597",12.45 %,"2,208",12.57 %,"3,576",11.61 %,"3,490",12.17 %,"2,090",12.00 %,"3,434",11.11 %,"1,660",12.66 %,"3,449",11.57 %,"1,596",11.17 %,"3,348",10.87 %,"1,692",12.34 %,"3,224",11.18 %,"1,557",11.37 %,"3,193",10.60 %,"1,633",11.97 %,"2,993",10.59 %,"1,429",10.26 %,"3,009",10.04 %,"1,669",11.98 %,"2,724",9.96 %,"1,385",9.22 %,"2,338",8.88 %,"1,378",10.40 %,"2,020",8.49 %,"1,112",7.80 %,"1,846",8.20 %,"1,682",8.79 %,"1,227",9.12 %,"1,826",7.65 %,"1,743",7.93 %,"1,217",8.10 %
Pasadena,Temporary Resident,18,0.15 %,73,0.24 %,77,0.27 %,28,0.23 %,79,0.29 %,85,0.30 %,33,0.28 %,110,0.40 %,99,0.38 %,43,0.40 %,89,0.34 %,98,0.37 %,36,0.31 %,99,0.36 %,115,0.41 %,68,0.44 %,123,0.43 %,150,0.54 %,82,0.56 %,138,0.49 %,137,0.49 %,70,0.46 %,99,0.40 %,141,0.50 %,43,0.34 %,83,0.33 %,100,0.34 %,53,0.32 %,142,0.47 %,137,0.46 %,89,0.50 %,102,0.37 %,161,0.54 %,87,0.66 %,177,0.59 %,72,0.64 %,173,0.60 %,94,0.72 %,173,0.59 %,74,0.58 %,164,0.58 %,91,0.68 %,164,0.57 %,93,0.66 %,172,0.61 %,122,0.85 %,170,0.58 %,104,0.71 %,162,0.57 %,106,0.72 %,171,0.57 %,98,0.65 %,161,0.56 %,92,0.61 %,162,0.53 %,90,0.61 %,143,0.47 %,77,0.54 %,134,0.44 %,50,0.51 %,125,0.42 %,62,0.54 %,154,0.50 %,75,0.73 %,119,0.40 %,46,0.43 %,119,0.40 %,42,0.52 %,107,0.39 %,34,0.52 %,92,0.35 %,114,0.42 %,91,0.54 %,116,0.42 %,167,0.60 %,110,0.61 %,147,0.49 %,140,0.48 %,102,0.58 %,138,0.45 %,137,0.48 %,95,0.55 %,139,0.45 %,62,0.47 %,133,0.45 %,59,0.41 %,158,0.51 %,66,0.48 %,124,0.43 %,51,0.37 %,122,0.41 %,53,0.39 %,111,0.39 %,50,0.36 %,110,0.37 %,68,0.49 %,91,0.33 %,31,0.21 %,57,0.22 %,23,0.17 %,36,0.15 %,15,0.11 %,31,0.14 %,26,0.14 %,20,0.15 %,39,0.16 %,35,0.16 %,23,0.15 %
Pasadena,Refugee / Asylee,276,2.36 %,475,1.56 %,451,1.58 %,224,1.82 %,389,1.42 %,373,1.33 %,197,1.68 %,358,1.31 %,353,1.34 %,158,1.48 %,336,1.28 %,344,1.30 %,186,1.59 %,339,1.24 %,332,1.20 %,184,1.19 %,317,1.12 %,296,1.07 %,168,1.15 %,282,1.00 %,267,0.95 %,153,1.01 %,247,0.99 %,292,1.04 %,141,1.11 %,278,1.10 %,317,1.08 %,221,1.32 %,388,1.28 %,459,1.52 %,340,1.91 %,467,1.67 %,552,1.87 %,327,2.49 %,569,1.89 %,267,2.38 %,526,1.83 %,300,2.29 %,545,1.85 %,287,2.26 %,506,1.79 %,329,2.48 %,557,1.93 %,342,2.42 %,538,1.90 %,325,2.27 %,541,1.85 %,336,2.30 %,537,1.88 %,347,2.37 %,537,1.79 %,324,2.16 %,507,1.76 %,295,1.97 %,490,1.60 %,299,2.02 %,465,1.52 %,255,1.78 %,461,1.52 %,210,2.15 %,475,1.58 %,245,2.13 %,525,1.69 %,258,2.51 %,534,1.79 %,242,2.24 %,506,1.71 %,219,2.71 %,505,1.85 %,150,2.27 %,454,1.74 %,467,1.73 %,270,1.62 %,397,1.43 %,398,1.44 %,242,1.35 %,379,1.25 %,385,1.33 %,258,1.47 %,408,1.32 %,425,1.48 %,289,1.66 %,398,1.29 %,207,1.58 %,385,1.29 %,197,1.38 %,330,1.07 %,193,1.41 %,306,1.06 %,162,1.18 %,294,0.98 %,175,1.28 %,300,1.06 %,152,1.09 %,296,0.99 %,173,1.24 %,246,0.90 %,121,0.81 %,206,0.78 %,138,1.04 %,183,0.77 %,108,0.76 %,182,0.81 %,159,0.83 %,112,0.83 %,187,0.78 %,194,0.88 %,156,1.04 %
Pasadena,Student Visa (F-1 or M-1 visa),483,4.14 %,634,2.08 %,608,2.12 %,485,3.94 %,588,2.15 %,611,2.18 %,546,4.66 %,649,2.37 %,664,2.52 %,604,5.64 %,701,2.66 %,726,2.75 %,584,5.01 %,753,2.77 %,825,2.97 %,792,5.13 %,867,3.05 %,915,3.29 %,849,5.82 %,989,3.49 %,"1,062",3.77 %,833,5.52 %,"1,139",4.56 %,"1,102",3.92 %,821,6.45 %,995,3.93 %,"1,019",3.49 %,759,4.53 %,"1,015",3.36 %,"1,058",3.51 %,752,4.22 %,"1,043",3.74 %,"1,047",3.54 %,610,4.64 %,"1,003",3.34 %,448,3.99 %,"1,013",3.52 %,477,3.64 %,883,3.00 %,428,3.36 %,894,3.17 %,424,3.19 %,834,2.89 %,405,2.86 %,880,3.11 %,417,2.92 %,907,3.09 %,430,2.94 %,990,3.47 %,451,3.08 %,"1,020",3.40 %,433,2.89 %,"1,057",3.67 %,463,3.09 %,"1,129",3.70 %,476,3.21 %,"1,127",3.69 %,477,3.33 %,"1,105",3.65 %,385,3.94 %,"1,119",3.72 %,402,3.49 %,"1,051",3.39 %,382,3.71 %,"1,064",3.57 %,378,3.50 %,"1,022",3.45 %,275,3.40 %,"1,081",3.96 %,277,4.20 %,762,2.92 %,656,2.43 %,447,2.68 %,"1,051",3.78 %,"1,068",3.85 %,525,2.93 %,"1,003",3.32 %,"1,034",3.58 %,548,3.12 %,"1,022",3.32 %,"1,034",3.61 %,527,3.02 %,"1,012",3.27 %,459,3.50 %,"1,068",3.58 %,413,2.89 %,948,3.08 %,420,3.06 %,977,3.39 %,348,2.54 %,843,2.80 %,418,3.07 %,920,3.26 %,313,2.25 %,805,2.69 %,359,2.58 %,764,2.79 %,323,2.15 %,579,2.20 %,259,1.95 %,557,2.34 %,219,1.54 %,470,2.09 %,468,2.45 %,247,1.84 %,460,1.93 %,514,2.34 %,291,1.94 %
Pasadena,Other Status,382,3.27 %,746,2.45 %,694,2.42 %,329,2.67 %,625,2.29 %,609,2.17 %,327,2.79 %,541,1.98 %,487,1.85 %,289,2.70 %,476,1.81 %,514,1.95 %,303,2.60 %,499,1.83 %,506,1.82 %,315,2.04 %,496,1.75 %,538,1.94 %,353,2.42 %,528,1.86 %,517,1.84 %,343,2.27 %,482,1.93 %,521,1.85 %,315,2.48 %,471,1.86 %,535,1.83 %,341,2.04 %,555,1.84 %,632,2.10 %,423,2.37 %,492,1.76 %,637,2.15 %,371,2.82 %,677,2.25 %,298,2.65 %,723,2.52 %,342,2.61 %,636,2.16 %,323,2.54 %,600,2.13 %,327,2.46 %,597,2.07 %,385,2.72 %,619,2.19 %,358,2.50 %,599,2.04 %,382,2.61 %,600,2.10 %,372,2.54 %,580,1.93 %,347,2.31 %,569,1.98 %,296,1.97 %,536,1.76 %,291,1.96 %,555,1.81 %,283,1.98 %,480,1.59 %,193,1.98 %,407,1.35 %,193,1.68 %,405,1.31 %,192,1.87 %,348,1.17 %,151,1.40 %,311,1.05 %,139,1.72 %,377,1.38 %,108,1.64 %,605,2.32 %,765,2.83 %,483,2.89 %,454,1.63 %,497,1.79 %,427,2.38 %,747,2.47 %,804,2.78 %,509,2.90 %,984,3.20 %,960,3.35 %,579,3.32 %,"1,073",3.47 %,532,4.06 %,"1,108",3.72 %,570,3.99 %,"1,290",4.19 %,654,4.77 %,"1,244",4.31 %,569,4.16 %,"1,228",4.08 %,557,4.08 %,"1,116",3.95 %,515,3.70 %,"1,167",3.89 %,565,4.06 %,"1,002",3.66 %,485,3.23 %,824,3.13 %,471,3.55 %,743,3.12 %,384,2.69 %,652,2.90 %,555,2.90 %,393,2.92 %,664,2.78 %,602,2.74 %,363,2.42 %
Pasadena,Status Unknown / Uncollected,"2,696",23.10 %,"5,335",17.52 %,"5,392",18.84 %,"2,584",21.00 %,"4,411",16.15 %,"4,678",16.66 %,"2,151",18.35 %,"3,921",14.32 %,"4,074",15.47 %,"1,930",18.02 %,"3,707",14.07 %,"4,015",15.21 %,"1,843",15.80 %,"3,247",11.92 %,"3,072",11.06 %,"2,211",14.32 %,"3,345",11.79 %,"3,084",11.10 %,"1,646",11.28 %,"3,258",11.51 %,"3,106",11.04 %,"1,650",10.94 %,444,1.78 %,"1,792",6.37 %,171,1.34 %,317,1.25 %,"1,493",5.11 %,747,4.46 %,"1,283",4.25 %,"1,324",4.40 %,822,4.61 %,581,2.08 %,"1,269",4.29 %,769,5.85 %,"1,273",4.24 %,436,3.88 %,"1,326",4.61 %,775,5.91 %,"1,362",4.63 %,713,5.60 %,"1,340",4.75 %,871,6.55 %,"1,392",4.82 %,849,6.01 %,"1,463",5.17 %,"1,061",7.42 %,"1,582",5.40 %,989,6.77 %,"1,575",5.52 %,"1,128",7.70 %,"1,767",5.88 %,"1,045",6.97 %,"1,639",5.69 %,983,6.55 %,"1,628",5.33 %,918,6.19 %,"1,615",5.28 %,904,6.31 %,"1,576",5.21 %,676,6.92 %,"1,465",4.87 %,805,7.00 %,"1,577",5.09 %,698,6.78 %,"1,557",5.23 %,776,7.18 %,"1,593",5.37 %,616,7.62 %,"1,436",5.26 %,493,7.47 %,"1,369",5.25 %,"1,472",5.44 %,"1,292",7.73 %,"1,276",4.59 %,"1,214",4.38 %,837,4.66 %,"1,171",3.87 %,"1,192",4.13 %,710,4.04 %,"1,031",3.35 %,994,3.47 %,648,3.72 %,902,2.92 %,418,3.19 %,798,2.68 %,350,2.45 %,642,2.08 %,325,2.37 %,589,2.04 %,291,2.13 %,523,1.74 %,251,1.84 %,461,1.63 %,238,1.71 %,405,1.35 %,212,1.52 %,306,1.12 %,75,0.50 %,165,0.63 %,127,0.96 %,265,1.11 %,192,1.35 %,429,1.91 %,468,2.45 %,554,4.12 %,"1,085",4.55 %,"1,394",6.34 %,"1,299",8.65 %
