,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022
State Name,Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%)
State of California,"1,173,595",100.00 %,"650,651",100.00 %,"1,292,787",100.00 %
