,College Label,Student Count
Fall 2021.1,West LA,0.08510000000000001
Winter 2022.1,West LA,0.067
Spring 2022.1,West LA,0.0799
Summer 2022.1,West LA,0.0655
Fall 2022.1,West LA,0.07010000000000001
Winter 2018.1,LA Mission,0.0986
Spring 2018.1,LA Mission,0.109
Summer 2018.1,LA Mission,0.07729999999999998
Fall 2018.1,LA Mission,0.08750000000000001
Winter 2019.1,LA Mission,0.07819999999999999
Spring 2019.1,LA Mission,0.0809
Summer 2019.1,LA Mission,0.0626
Fall 2019.1,LA Mission,0.06989999999999999
Winter 2020.1,LA Mission,0.07160000000000001
Spring 2020.1,LA Mission,0.07269999999999999
Summer 2020.1,LA Mission,0.064
Fall 2020.1,LA Mission,0.0737
Winter 2021.1,LA Mission,0.0683
Spring 2021.1,LA Mission,0.0725
Summer 2021.1,LA Mission,0.057600000000000005
Fall 2021.1,LA Mission,0.0658
Winter 2022.1,LA Mission,0.05869999999999999
Spring 2022.1,LA Mission,0.0661
Summer 2022.1,LA Mission,0.0538
Fall 2022.1,LA Mission,0.060599999999999994
Winter 2018.1,Compton,0.0493
Spring 2018.1,Compton,0.047400000000000005
Summer 2018.1,Compton,0.0483
Fall 2018.1,Compton,0.0408
Winter 2019.1,Compton,0.0539
Spring 2019.1,Compton,0.0452
Summer 2019.1,Compton,0.027200000000000002
Fall 2019.1,Compton,0.023700000000000002
Winter 2020.1,Compton,0.03300000000000001
Spring 2020.1,Compton,0.023699999999999995
Summer 2020.1,Compton,0.0243
Fall 2020.1,Compton,0.0237
Winter 2021.1,Compton,0.026000000000000002
Spring 2021.1,Compton,0.022399999999999996
Summer 2021.1,Compton,0.0224
Fall 2021.1,Compton,0.022299999999999997
Winter 2022.1,Compton,0.039
Spring 2022.1,Compton,0.023299999999999998
Summer 2022.1,Compton,0.023799999999999995
Fall 2022.1,Compton,0.0239
Winter 2018.1,LA Mission,0.0986
Spring 2018.1,LA Mission,0.109
Summer 2018.1,LA Mission,0.07729999999999998
Fall 2018.1,LA Mission,0.08750000000000001
Winter 2019.1,LA Mission,0.07819999999999999
Spring 2019.1,LA Mission,0.0809
Summer 2019.1,LA Mission,0.0626
Fall 2019.1,LA Mission,0.06989999999999999
Winter 2020.1,LA Mission,0.07160000000000001
Spring 2020.1,LA Mission,0.07269999999999999
Summer 2020.1,LA Mission,0.064
Fall 2020.1,LA Mission,0.0737
Winter 2021.1,LA Mission,0.0683
Spring 2021.1,LA Mission,0.0725
Summer 2021.1,LA Mission,0.057600000000000005
Fall 2021.1,LA Mission,0.0658
Winter 2022.1,LA Mission,0.05869999999999999
Spring 2022.1,LA Mission,0.0661
Summer 2022.1,LA Mission,0.0538
Fall 2022.1,LA Mission,0.060599999999999994
Winter 2018.1,Long Beach,0.0736
Spring 2018.1,Long Beach,0.0651
Summer 2018.1,Long Beach,0.0646
Fall 2018.1,Long Beach,0.0131
Winter 2019.1,Long Beach,0.06369999999999999
Spring 2019.1,Long Beach,0.0631
Summer 2019.1,Long Beach,0.0594
Fall 2019.1,Long Beach,0.0593
Winter 2020.1,Long Beach,0.0609
Spring 2020.1,Long Beach,0.059899999999999995
Summer 2020.1,Long Beach,0.0512
Fall 2020.1,Long Beach,0.0476
Winter 2021.1,Long Beach,0.05790000000000001
Spring 2021.1,Long Beach,0.0486
Summer 2021.1,Long Beach,0.0077
Fall 2021.1,Long Beach,0.0086
Winter 2022.1,Long Beach,0.048499999999999995
Spring 2022.1,Long Beach,0.0446
