,U.S. citizen,Permanent Resident,Temporary Resident,Refugee / Asylee,Student Visa (F-1 or M-1 visa),Other Status,Status Unknown / Uncollected,College Label
Summer 2017.1,0.5963,0.20989999999999998,0.0,0.0867,0.0493,0.0129,0.0449,Glendale
Fall 2017.1,0.6006,0.21100000000000002,0.0,0.0782,0.055099999999999996,0.0138,0.0412,Glendale
Winter 2018.1,0.5621,0.24109999999999998,0.0,0.08410000000000001,0.055099999999999996,0.009399999999999999,0.0482,Glendale
Spring 2018.1,0.5953,0.2184,0.0,0.0751,0.0579,0.0115,0.0417,Glendale
Summer 2018.1,0.6149,0.20989999999999998,0.0,0.067,0.0501,0.0116,0.04650000000000001,Glendale
Fall 2018.1,0.6099,0.21780000000000002,0.0,0.0664,0.0519,0.0128,0.0412,Glendale
Winter 2019.1,0.5761,0.2441,0.0,0.069,0.050199999999999995,0.0109,0.049800000000000004,Glendale
Spring 2019.1,0.5998,0.22649999999999998,0.0,0.0623,0.054400000000000004,0.0121,0.0449,Glendale
Summer 2019.1,0.6286999999999999,0.2134,0.0,0.054900000000000004,0.043,0.0127,0.0473,Glendale
Fall 2019.1,0.6199,0.2102,0.0,0.0526,0.0483,0.0129,0.056100000000000004,Glendale
Winter 2020.1,0.5764,0.223,0.0,0.051399999999999994,0.0406,0.0134,0.09519999999999999,Glendale
Spring 2020.1,0.6135,0.20550000000000002,0.0,0.048799999999999996,0.0426,0.011699999999999999,0.0779,Glendale
Summer 2020.1,0.6615000000000001,0.1888,0.0,0.0398,0.0263,0.0098,0.0737,Glendale
Fall 2020.1,0.6627,0.1889,0.0,0.04,0.030699999999999998,0.011899999999999999,0.0659,Glendale
Winter 2021.1,0.6184000000000001,0.2053,0.0,0.0441,0.0242,0.0118,0.0962,Glendale
Spring 2021.1,0.6415000000000001,0.1973,0.0,0.0383,0.028300000000000002,0.0128,0.0819,Glendale
Summer 2021.1,0.6446,0.1677,0.0,0.0356,0.02,0.0102,0.1219,Glendale
Fall 2021.1,0.6452,0.18170000000000003,0.0,0.0373,0.0242,0.011899999999999999,0.09970000000000001,Glendale
Winter 2022.1,0.5796,0.196,0.0,0.0429,0.0154,0.0116,0.15460000000000002,Glendale
Spring 2022.1,0.6068,0.1845,0.0,0.0388,0.0239,0.0116,0.1344,Glendale
Summer 2022.1,0.5764,0.1545,0.0,0.0375,0.0144,0.0096,0.2076,Glendale
Fall 2022.1,0.6069,0.1653,0.0,0.036699999999999997,0.0219,0.011200000000000002,0.158,Glendale
Winter 2013.1,0.8231999999999999,0.0834,0.0017000000000000001,0.0068000000000000005,0.0319,0.0521,0.001,East LA
Spring 2013.1,0.8108,0.0662,0.0011,0.0052,0.0208,0.0473,0.048600000000000004,East LA
Summer 2013.1,0.8401000000000001,0.0644,0.0023,0.0063,0.0158,0.057699999999999994,0.013500000000000002,East LA
Fall 2013.1,0.8088,0.0616,0.0016,0.0052,0.018600000000000002,0.0483,0.0559,East LA
Winter 2014.1,0.8225,0.0717,0.0009,0.008100000000000001,0.024300000000000002,0.0541,0.0184,East LA
Spring 2014.1,0.8158,0.0658,0.0026,0.0059,0.0217,0.0529,0.0353,East LA
Summer 2014.1,0.8301999999999999,0.0625,0.0036,0.0058,0.0143,0.0634,0.0202,East LA
Fall 2014.1,0.8231,0.0588,0.003,0.0052,0.019299999999999998,0.054400000000000004,0.0362,East LA
Winter 2015.1,0.8242,0.057300000000000004,0.0026,0.0059,0.0199,0.051,0.0391,East LA
Spring 2015.1,0.8265,0.0572,0.0033,0.0051,0.0212,0.057699999999999994,0.0291,East LA
Summer 2015.1,0.8479000000000001,0.0508,0.0026,0.0046,0.0125,0.0588,0.022799999999999997,East LA
Fall 2015.1,0.8262,0.054400000000000004,0.003,0.0044,0.0196,0.056600000000000004,0.0358,East LA
Winter 2016.1,0.8359000000000001,0.059500000000000004,0.0034000000000000002,0.0059,0.0225,0.058600000000000006,0.014199999999999999,East LA
Spring 2016.1,0.8258,0.055999999999999994,0.0026,0.0043,0.022000000000000002,0.059000000000000004,0.030299999999999997,East LA
Summer 2016.1,0.8568000000000001,0.050199999999999995,0.0025,0.0046,0.0138,0.057800000000000004,0.0143,East LA
Fall 2016.1,0.8234,0.0564,0.0032,0.0034000000000000002,0.0206,0.06849999999999999,0.024399999999999998,East LA
Winter 2017.1,0.8316,0.0529,0.0034999999999999996,0.0044,0.0182,0.0556,0.0338,East LA
Spring 2017.1,0.7967,0.056799999999999996,0.0027,0.0034999999999999996,0.0207,0.0655,0.0542,East LA
Summer 2017.1,0.8515,0.057300000000000004,0.0027,0.003,0.0116,0.0608,0.0132,East LA
Fall 2017.1,0.8109000000000001,0.0608,0.0040999999999999995,0.0009,0.0196,0.0659,0.0377,East LA
Winter 2018.1,0.8219,0.0678,0.0054,0.0016,0.022799999999999997,0.0611,0.019299999999999998,East LA
Spring 2018.1,0.8175,0.057699999999999994,0.0048,0.0014000000000000002,0.0203,0.064,0.034300000000000004,East LA
Summer 2018.1,0.8194,0.052300000000000006,0.0052,0.002,0.011399999999999999,0.052199999999999996,0.0575,East LA
Fall 2018.1,0.8034,0.0513,0.005600000000000001,0.0023,0.0152,0.059800000000000006,0.062400000000000004,East LA
Winter 2019.1,0.8126000000000001,0.0645,0.0069,0.0032,0.0171,0.061799999999999994,0.034,East LA
Spring 2019.1,0.8023,0.0499,0.005,0.0022,0.016399999999999998,0.0584,0.0658,East LA
Summer 2019.1,0.8251999999999999,0.0519,0.0058,0.0027,0.01,0.0642,0.0401,East LA
Fall 2019.1,0.7959999999999999,0.051100000000000007,0.0058,0.0029,0.0123,0.0593,0.0725,East LA
Winter 2020.1,0.8064,0.0637,0.0063,0.0037,0.012,0.0588,0.049100000000000005,East LA
Spring 2020.1,0.8059000000000001,0.050199999999999995,0.0049,0.0029,0.0125,0.0562,0.0673,East LA
Summer 2020.1,0.8137000000000001,0.067,0.0055000000000000005,0.0042,0.01,0.0555,0.044199999999999996,East LA
Fall 2020.1,0.8281000000000001,0.0519,0.0053,0.0038,0.0092,0.0483,0.053399999999999996,East LA
Winter 2021.1,0.8271,0.0635,0.006500000000000001,0.0060999999999999995,0.0096,0.051,0.0362,East LA
Spring 2021.1,0.8176000000000001,0.0516,0.005600000000000001,0.005,0.0084,0.0429,0.0687,East LA
Summer 2021.1,0.7929999999999999,0.0529,0.004699999999999999,0.004699999999999999,0.0045000000000000005,0.0379,0.10220000000000001,East LA
Fall 2021.1,0.8186,0.0454,0.0054,0.0045000000000000005,0.005699999999999999,0.042,0.0784,East LA
Winter 2022.1,0.8128,0.065,0.0070999999999999995,0.0075,0.0045000000000000005,0.0524,0.0506,East LA
Spring 2022.1,0.8220000000000001,0.0464,0.0054,0.004,0.0064,0.038599999999999995,0.07719999999999999,East LA
Summer 2022.1,0.7104,0.0349,0.0040999999999999995,0.0039000000000000003,0.0026,0.030899999999999997,0.2132,East LA
Fall 2022.1,0.8125,0.0373,0.0040999999999999995,0.0039000000000000003,0.0048,0.0382,0.0992,East LA
