,,Summer 1992,Summer 1992,Fall 1992,Fall 1992,Spring 1993,Spring 1993,Summer 1993,Summer 1993,Fall 1993,Fall 1993,Spring 1994,Spring 1994,Summer 1994,Summer 1994,Fall 1994,Fall 1994,Spring 1995,Spring 1995,Summer 1995,Summer 1995,Fall 1995,Fall 1995,Spring 1996,Spring 1996,Summer 1996,Summer 1996,Fall 1996,Fall 1996,Spring 1997,Spring 1997,Summer 1997,Summer 1997,Fall 1997,Fall 1997,Spring 1998,Spring 1998,Summer 1998,Summer 1998,Fall 1998,Fall 1998,Spring 1999,Spring 1999,Summer 1999,Summer 1999,Fall 1999,Fall 1999,Spring 2000,Spring 2000,Summer 2000,Summer 2000,Fall 2000,Fall 2000,Spring 2001,Spring 2001,Summer 2001,Summer 2001,Fall 2001,Fall 2001,Winter 2002,Winter 2002,Spring 2002,Spring 2002,Summer 2002,Summer 2002,Fall 2002,Fall 2002,Winter 2003,Winter 2003,Spring 2003,Spring 2003,Summer 2003,Summer 2003,Fall 2003,Fall 2003,Winter 2004,Winter 2004,Spring 2004,Spring 2004,Summer 2004,Summer 2004,Fall 2004,Fall 2004,Winter 2005,Winter 2005,Spring 2005,Spring 2005,Summer 2005,Summer 2005,Fall 2005,Fall 2005,Winter 2006,Winter 2006,Spring 2006,Spring 2006,Summer 2006,Summer 2006,Fall 2006,Fall 2006,Winter 2007,Winter 2007,Spring 2007,Spring 2007,Summer 2007,Summer 2007,Fall 2007,Fall 2007,Winter 2008,Winter 2008,Spring 2008,Spring 2008,Summer 2008,Summer 2008,Fall 2008,Fall 2008,Winter 2009,Winter 2009,Spring 2009,Spring 2009,Summer 2009,Summer 2009,Fall 2009,Fall 2009,Winter 2010,Winter 2010,Spring 2010,Spring 2010,Summer 2010,Summer 2010,Fall 2010,Fall 2010,Winter 2011,Winter 2011,Spring 2011,Spring 2011,Summer 2011,Summer 2011,Fall 2011,Fall 2011,Winter 2012,Winter 2012,Spring 2012,Spring 2012,Summer 2012,Summer 2012,Fall 2012,Fall 2012,Winter 2013,Winter 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Winter 2014,Winter 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Winter 2015,Winter 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Winter 2016,Winter 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023
College Name,Citizenship Status,Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%)
Glendale,U.S. citizen,"3,557",47.62 %,"10,113",47.59 %,"9,853",46.44 %,"1,186",48.04 %,"9,374",46.79 %,"8,974",45.63 %,"2,464",43.60 %,"8,465",44.55 %,"8,445",43.95 %,745,14.77 %,"7,761",42.71 %,"8,079",42.31 %,"2,449",44.38 %,"8,490",40.05 %,"8,818",41.34 %,"3,069",48.10 %,"10,219",46.52 %,"11,373",47.67 %,"4,462",49.11 %,"10,970",50.43 %,"10,604",49.95 %,"4,327",47.34 %,"11,006",49.73 %,"10,707",48.42 %,"4,732",49.19 %,"11,278",47.13 %,"11,510",47.74 %,"5,227",48.48 %,"12,332",50.20 %,"4,774",46.94 %,"12,197",50.27 %,"5,555",51.87 %,"12,531",51.43 %,"4,789",52.88 %,"12,215",51.60 %,"4,481",51.46 %,"11,637",52.07 %,"4,775",51.85 %,"11,494",52.32 %,"4,968",53.30 %,"11,680",52.58 %,"4,809",52.68 %,"11,578",52.31 %,"6,115",53.33 %,"11,779",53.71 %,"5,616",53.61 %,"11,883",54.41 %,"6,676",56.39 %,"12,191",54.95 %,"5,593",53.74 %,"11,842",54.10 %,"7,009",58.23 %,"13,193",58.98 %,"6,272",56.49 %,"13,251",58.27 %,"7,657",57.32 %,"13,780",58.36 %,"6,223",54.65 %,"13,706",57.36 %,"7,635",56.62 %,"14,140",58.42 %,"4,868",52.05 %,"13,882",57.86 %,"5,104",51.59 %,"12,634",55.81 %,"3,304",44.55 %,"12,754",56.40 %,"3,980",60.50 %,"12,540",57.24 %,199,85.04 %,"12,440",57.12 %,643,33.82 %,"12,262",58.28 %,372,90.07 %,"12,648",58.70 %,651,32.86 %,"12,381",59.15 %,"3,775",54.89 %,"11,881",58.82 %,"4,840",59.99 %,"11,897",59.43 %,"4,288",54.55 %,"11,653",58.97 %,"5,148",60.70 %,"12,348",61.00 %,"4,823",57.85 %,"11,853",59.86 %,"5,243",60.08 %,"12,193",60.80 %,"5,169",56.90 %,"11,469",59.27 %,"5,428",59.63 %,"11,626",60.06 %,"5,069",56.21 %,"10,915",59.53 %,"5,515",61.49 %,"11,091",60.99 %,"4,990",57.61 %,"10,372",59.98 %,"5,529",62.87 %,"10,891",61.99 %,"4,680",57.64 %,"10,005",61.35 %,"6,113",66.15 %,"10,117",66.27 %,"4,347",61.84 %,"9,248",64.15 %,"4,986",64.46 %,"9,075",64.52 %,"4,110",57.96 %,"8,280",60.68 %,"4,518",57.64 %,"8,310",60.69 %,"4,105",52.60 %,"8,413",57.04 %,"5,002",50.99 %
Glendale,Permanent Resident,"2,127",28.47 %,"5,620",26.45 %,"5,738",27.05 %,779,31.55 %,"5,531",27.61 %,"5,633",28.64 %,"1,949",34.48 %,"5,915",31.13 %,"5,968",31.06 %,"1,012",20.06 %,"5,949",32.74 %,"6,111",32.00 %,"1,970",35.70 %,"6,280",29.62 %,"6,162",28.88 %,"2,127",33.34 %,"6,991",31.83 %,"7,313",30.65 %,"2,870",31.59 %,"6,216",28.58 %,"6,008",28.30 %,"2,695",29.49 %,"5,968",26.97 %,"5,747",25.99 %,"2,506",26.05 %,"5,671",23.70 %,"5,432",22.53 %,"2,633",24.42 %,"5,249",21.37 %,"2,139",21.03 %,"5,010",20.65 %,"2,347",21.92 %,"4,819",19.78 %,"1,830",20.21 %,"4,598",19.42 %,"1,789",20.55 %,"4,126",18.46 %,"1,681",18.25 %,"4,022",18.31 %,"1,694",18.17 %,"3,916",17.63 %,"1,572",17.22 %,"3,931",17.76 %,"2,072",18.07 %,"3,831",17.47 %,"1,859",17.75 %,"3,867",17.71 %,"2,072",17.50 %,"3,905",17.60 %,"1,802",17.31 %,"3,909",17.86 %,"2,260",18.78 %,"4,175",18.66 %,"2,202",19.83 %,"4,273",18.79 %,"2,472",18.51 %,"4,256",18.02 %,"2,200",19.32 %,"4,323",18.09 %,"2,529",18.76 %,"4,428",18.30 %,"1,858",19.87 %,"4,520",18.84 %,"1,508",15.24 %,"4,064",17.95 %,"1,421",19.16 %,"4,303",19.03 %,"1,273",19.35 %,"4,502",20.55 %,21,8.97 %,"4,628",21.25 %,611,32.14 %,"4,496",21.37 %,17,4.12 %,"4,573",21.22 %,627,31.65 %,"4,592",21.94 %,"1,674",24.34 %,"4,452",22.04 %,"1,744",21.62 %,"4,482",22.39 %,"1,916",24.38 %,"4,376",22.14 %,"1,808",21.32 %,"4,226",20.88 %,"1,926",23.10 %,"4,259",21.51 %,"1,844",21.13 %,"4,149",20.69 %,"2,154",23.71 %,"4,114",21.26 %,"1,911",20.99 %,"4,085",21.10 %,"2,174",24.11 %,"4,005",21.84 %,"1,883",20.99 %,"3,961",21.78 %,"2,114",24.41 %,"3,917",22.65 %,"1,877",21.34 %,"3,693",21.02 %,"1,811",22.30 %,"3,352",20.55 %,"1,745",18.88 %,"2,883",18.89 %,"1,443",20.53 %,"2,844",19.73 %,"1,297",16.77 %,"2,556",18.17 %,"1,390",19.60 %,"2,518",18.45 %,"1,211",15.45 %,"2,263",16.53 %,"1,255",16.08 %,"2,273",15.41 %,"1,227",12.51 %
Glendale,Temporary Resident,96,1.29 %,217,1.02 %,176,0.83 %,19,0.77 %,144,0.72 %,116,0.59 %,29,0.51 %,97,0.51 %,86,0.45 %,3,0.06 %,77,0.42 %,62,0.32 %,16,0.29 %,54,0.25 %,46,0.22 %,16,0.25 %,298,1.36 %,432,1.81 %,125,1.38 %,420,1.93 %,377,1.78 %,201,2.20 %,449,2.03 %,486,2.20 %,212,2.20 %,534,2.23 %,470,1.95 %,147,1.36 %,393,1.60 %,162,1.59 %,376,1.55 %,109,1.02 %,338,1.39 %,127,1.40 %,315,1.33 %,107,1.23 %,281,1.26 %,97,1.05 %,289,1.32 %,115,1.23 %,323,1.45 %,115,1.26 %,298,1.35 %,170,1.48 %,283,1.29 %,148,1.41 %,288,1.32 %,144,1.22 %,244,1.10 %,155,1.49 %,271,1.24 %,154,1.28 %,290,1.30 %,215,1.94 %,348,1.53 %,229,1.71 %,309,1.31 %,181,1.59 %,242,1.01 %,139,1.03 %,204,0.84 %,129,1.38 %,213,0.89 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %
Glendale,Refugee / Asylee,294,3.94 %,846,3.98 %,772,3.64 %,80,3.24 %,653,3.26 %,615,3.13 %,207,3.66 %,515,2.71 %,474,2.47 %,93,1.84 %,412,2.27 %,398,2.08 %,96,1.74 %,333,1.57 %,299,1.40 %,95,1.49 %,589,2.68 %,674,2.83 %,204,2.25 %,590,2.71 %,574,2.70 %,258,2.82 %,793,3.58 %,967,4.37 %,474,4.93 %,"1,841",7.69 %,"2,092",8.68 %,914,8.48 %,"2,331",9.49 %,"1,201",11.81 %,"2,419",9.97 %,976,9.11 %,"2,355",9.67 %,806,8.90 %,"2,185",9.23 %,807,9.27 %,"1,924",8.61 %,710,7.71 %,"1,771",8.06 %,724,7.77 %,"1,537",6.92 %,561,6.15 %,"1,420",6.42 %,660,5.76 %,"1,168",5.33 %,523,4.99 %,"1,031",4.72 %,452,3.82 %,990,4.46 %,629,6.04 %,"1,300",5.94 %,785,6.52 %,"1,382",6.18 %,910,8.20 %,"1,796",7.90 %,"1,319",9.87 %,"2,345",9.93 %,"1,434",12.59 %,"2,692",11.27 %,"1,805",13.39 %,"2,785",11.51 %,"1,486",15.89 %,"2,917",12.16 %,971,9.81 %,"2,111",9.32 %,"1,027",13.85 %,"2,212",9.78 %,792,12.04 %,"2,128",9.71 %,7,2.99 %,"2,060",9.46 %,256,13.47 %,"1,787",8.49 %,5,1.21 %,"1,798",8.34 %,258,13.02 %,"1,575",7.52 %,574,8.35 %,"1,578",7.81 %,623,7.72 %,"1,470",7.34 %,682,8.68 %,"1,524",7.71 %,628,7.40 %,"1,426",7.05 %,640,7.68 %,"1,482",7.48 %,683,7.83 %,"1,548",7.72 %,779,8.58 %,"1,616",8.35 %,789,8.67 %,"1,514",7.82 %,758,8.41 %,"1,377",7.51 %,601,6.70 %,"1,207",6.64 %,598,6.90 %,"1,077",6.23 %,483,5.49 %,924,5.26 %,417,5.14 %,796,4.88 %,368,3.98 %,611,4.00 %,310,4.41 %,552,3.83 %,275,3.56 %,524,3.73 %,304,4.29 %,529,3.88 %,294,3.75 %,502,3.67 %,300,3.84 %,515,3.49 %,351,3.58 %
Glendale,Student Visa (F-1 or M-1 visa),275,3.68 %,545,2.56 %,553,2.61 %,97,3.93 %,579,2.89 %,561,2.85 %,278,4.92 %,520,2.74 %,524,2.73 %,13,0.26 %,466,2.56 %,489,2.56 %,236,4.28 %,495,2.34 %,508,2.38 %,260,4.08 %,717,3.26 %,802,3.36 %,363,4.00 %,710,3.26 %,679,3.20 %,395,4.32 %,774,3.50 %,751,3.40 %,359,3.73 %,"1,026",4.29 %,806,3.34 %,361,3.35 %,827,3.37 %,242,2.38 %,823,3.39 %,416,3.88 %,801,3.29 %,173,1.91 %,772,3.26 %,261,3.00 %,745,3.33 %,240,2.61 %,728,3.31 %,301,3.23 %,870,3.92 %,216,2.37 %,806,3.64 %,423,3.69 %,873,3.98 %,339,3.24 %,795,3.64 %,429,3.62 %,887,4.00 %,321,3.08 %,810,3.70 %,333,2.77 %,586,2.62 %,241,2.17 %,560,2.46 %,334,2.50 %,512,2.17 %,206,1.81 %,500,2.09 %,237,1.76 %,474,1.96 %,137,1.46 %,469,1.95 %,324,3.27 %,746,3.30 %,223,3.01 %,712,3.15 %,162,2.46 %,769,3.51 %,4,1.71 %,754,3.46 %,90,4.73 %,836,3.97 %,9,2.18 %,940,4.36 %,170,8.58 %,994,4.75 %,326,4.74 %,"1,057",5.23 %,382,4.73 %,"1,042",5.21 %,423,5.38 %,"1,108",5.61 %,429,5.06 %,"1,156",5.71 %,424,5.09 %,"1,144",5.78 %,427,4.89 %,"1,063",5.30 %,453,4.99 %,"1,055",5.45 %,449,4.93 %,"1,067",5.51 %,497,5.51 %,"1,062",5.79 %,449,5.01 %,944,5.19 %,435,5.02 %,940,5.44 %,378,4.30 %,849,4.83 %,330,4.06 %,694,4.26 %,243,2.63 %,468,3.07 %,170,2.42 %,408,2.83 %,155,2.00 %,341,2.42 %,109,1.54 %,326,2.39 %,113,1.44 %,300,2.19 %,96,1.23 %,313,2.12 %,112,1.14 %
Glendale,Other Status,609,8.15 %,"1,614",7.59 %,"1,737",8.19 %,231,9.36 %,"1,594",7.96 %,"1,640",8.34 %,436,7.71 %,"1,607",8.46 %,"1,689",8.79 %,301,5.97 %,"1,689",9.29 %,"1,786",9.35 %,484,8.77 %,"1,797",8.48 %,"1,724",8.08 %,545,8.54 %,"1,819",8.28 %,"1,887",7.91 %,710,7.81 %,"1,778",8.17 %,"1,799",8.47 %,806,8.82 %,"2,074",9.37 %,"2,313",10.46 %,996,10.35 %,"2,442",10.21 %,"2,631",10.91 %,"1,153",10.69 %,"2,513",10.23 %,"1,088",10.70 %,"2,478",10.21 %,995,9.29 %,"2,678",10.99 %,838,9.25 %,"2,606",11.01 %,"1,044",11.99 %,"2,678",11.98 %,"1,137",12.35 %,"2,650",12.06 %,"1,198",12.85 %,"2,807",12.64 %,"1,085",11.89 %,"2,913",13.16 %,"1,528",13.33 %,"2,788",12.71 %,"1,343",12.82 %,"2,716",12.44 %,"1,507",12.73 %,"2,712",12.22 %,"1,207",11.60 %,"2,461",11.24 %,"1,283",10.66 %,"2,238",10.00 %,"1,079",9.72 %,"2,118",9.31 %,"1,111",8.32 %,"2,010",8.51 %,986,8.66 %,"2,089",8.74 %,950,7.05 %,"1,803",7.45 %,775,8.29 %,"1,645",6.86 %,,0.00 %,310,1.37 %,,0.00 %,,0.00 %,123,1.87 %,326,1.49 %,,0.00 %,304,1.40 %,2,0.11 %,351,1.67 %,9,2.18 %,350,1.62 %,1,0.05 %,361,1.72 %,97,1.41 %,334,1.65 %,121,1.50 %,338,1.69 %,134,1.70 %,306,1.55 %,125,1.47 %,313,1.55 %,112,1.34 %,280,1.41 %,121,1.39 %,299,1.49 %,108,1.19 %,271,1.40 %,117,1.29 %,267,1.38 %,85,0.94 %,210,1.15 %,104,1.16 %,233,1.28 %,94,1.09 %,209,1.21 %,112,1.27 %,226,1.29 %,109,1.34 %,190,1.17 %,91,0.98 %,181,1.19 %,83,1.18 %,184,1.28 %,79,1.02 %,167,1.19 %,82,1.16 %,158,1.16 %,75,0.96 %,153,1.12 %,77,0.99 %,146,0.99 %,75,0.76 %
Glendale,Status Unknown / Uncollected,512,6.85 %,"2,296",10.80 %,"2,386",11.25 %,77,3.12 %,"2,158",10.77 %,"2,130",10.83 %,289,5.11 %,"1,880",9.90 %,"2,029",10.56 %,"2,878",57.05 %,"1,818",10.00 %,"2,169",11.36 %,267,4.84 %,"3,750",17.69 %,"3,776",17.70 %,268,4.20 %,"1,333",6.07 %,"1,376",5.77 %,352,3.87 %,"1,068",4.91 %,"1,188",5.60 %,458,5.01 %,"1,068",4.83 %,"1,143",5.17 %,341,3.54 %,"1,136",4.75 %,"1,168",4.84 %,347,3.22 %,921,3.75 %,564,5.55 %,961,3.96 %,311,2.90 %,842,3.46 %,494,5.45 %,980,4.14 %,218,2.50 %,957,4.28 %,570,6.19 %,"1,013",4.61 %,321,3.44 %,"1,081",4.87 %,770,8.44 %,"1,189",5.37 %,498,4.34 %,"1,208",5.51 %,648,6.19 %,"1,260",5.77 %,558,4.71 %,"1,257",5.67 %,701,6.74 %,"1,295",5.92 %,212,1.76 %,506,2.26 %,184,1.66 %,393,1.73 %,236,1.77 %,400,1.69 %,158,1.39 %,343,1.44 %,189,1.40 %,369,1.52 %,100,1.07 %,345,1.44 %,"1,987",20.08 %,"2,774",12.25 %,"1,442",19.44 %,"2,632",11.64 %,249,3.78 %,"1,642",7.50 %,3,1.28 %,"1,594",7.32 %,299,15.73 %,"1,307",6.21 %,1,0.24 %,"1,237",5.74 %,274,13.83 %,"1,029",4.92 %,431,6.27 %,896,4.44 %,358,4.44 %,788,3.94 %,417,5.31 %,795,4.02 %,343,4.04 %,772,3.81 %,412,4.94 %,783,3.95 %,408,4.68 %,801,3.99 %,421,4.63 %,824,4.26 %,409,4.49 %,798,4.12 %,435,4.82 %,765,4.17 %,417,4.65 %,750,4.12 %,431,4.98 %,776,4.49 %,416,4.73 %,986,5.61 %,773,9.52 %,"1,271",7.79 %,681,7.37 %,"1,006",6.59 %,676,9.62 %,"1,181",8.19 %,943,12.19 %,"1,403",9.97 %,"1,096",15.46 %,"1,834",13.44 %,"1,627",20.76 %,"2,164",15.80 %,"1,971",25.26 %,"3,090",20.95 %,"3,043",31.02 %
