,,Summer 1992,Summer 1992,Fall 1992,Fall 1992,Spring 1993,Spring 1993,Summer 1993,Summer 1993,Fall 1993,Fall 1993,Spring 1994,Spring 1994,Summer 1994,Summer 1994,Fall 1994,Fall 1994,Spring 1995,Spring 1995,Summer 1995,Summer 1995,Fall 1995,Fall 1995,Spring 1996,Spring 1996,Summer 1996,Summer 1996,Fall 1996,Fall 1996,Spring 1997,Spring 1997,Summer 1997,Summer 1997,Fall 1997,Fall 1997,Spring 1998,Spring 1998,Summer 1998,Summer 1998,Fall 1998,Fall 1998,Spring 1999,Spring 1999,Summer 1999,Summer 1999,Fall 1999,Fall 1999,Spring 2000,Spring 2000,Summer 2000,Summer 2000,Fall 2000,Fall 2000,Spring 2001,Spring 2001,Summer 2001,Summer 2001,Fall 2001,Fall 2001,Winter 2002,Winter 2002,Spring 2002,Spring 2002,Summer 2002,Summer 2002,Fall 2002,Fall 2002,Winter 2003,Winter 2003,Spring 2003,Spring 2003,Summer 2003,Summer 2003,Fall 2003,Fall 2003,Winter 2004,Winter 2004,Spring 2004,Spring 2004,Summer 2004,Summer 2004,Fall 2004,Fall 2004,Winter 2005,Winter 2005,Spring 2005,Spring 2005,Summer 2005,Summer 2005,Fall 2005,Fall 2005,Winter 2006,Winter 2006,Spring 2006,Spring 2006,Summer 2006,Summer 2006,Fall 2006,Fall 2006,Winter 2007,Winter 2007,Spring 2007,Spring 2007,Summer 2007,Summer 2007,Fall 2007,Fall 2007,Winter 2008,Winter 2008,Spring 2008,Spring 2008,Summer 2008,Summer 2008,Fall 2008,Fall 2008,Winter 2009,Winter 2009,Spring 2009,Spring 2009,Summer 2009,Summer 2009,Fall 2009,Fall 2009,Winter 2010,Winter 2010,Spring 2010,Spring 2010,Summer 2010,Summer 2010,Fall 2010,Fall 2010,Winter 2011,Winter 2011,Spring 2011,Spring 2011,Summer 2011,Summer 2011,Fall 2011,Fall 2011,Winter 2012,Winter 2012,Spring 2012,Spring 2012,Summer 2012,Summer 2012,Fall 2012,Fall 2012,Winter 2013,Winter 2013,Spring 2013,Spring 2013,Summer 2013,Summer 2013,Fall 2013,Fall 2013,Winter 2014,Winter 2014,Spring 2014,Spring 2014,Summer 2014,Summer 2014,Fall 2014,Fall 2014,Winter 2015,Winter 2015,Spring 2015,Spring 2015,Summer 2015,Summer 2015,Fall 2015,Fall 2015,Winter 2016,Winter 2016,Spring 2016,Spring 2016,Summer 2016,Summer 2016,Fall 2016,Fall 2016,Winter 2017,Winter 2017,Spring 2017,Spring 2017,Summer 2017,Summer 2017,Fall 2017,Fall 2017,Winter 2018,Winter 2018,Spring 2018,Spring 2018,Summer 2018,Summer 2018,Fall 2018,Fall 2018,Winter 2019,Winter 2019,Spring 2019,Spring 2019,Summer 2019,Summer 2019,Fall 2019,Fall 2019,Winter 2020,Winter 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Winter 2021,Winter 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Winter 2022,Winter 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Winter 2023,Winter 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023
College Name,Enrollment Status,Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%),Student Count,Student Count (%)
Glendale,First-Time Student,751,10.05 %,"2,302",10.83 %,"1,353",6.38 %,354,14.34 %,"2,544",12.70 %,"1,122",5.70 %,523,9.25 %,"2,389",12.57 %,56,0.29 %,,0.00 %,"2,309",12.71 %,"1,071",5.61 %,379,6.87 %,"2,338",11.03 %,"1,173",5.50 %,459,7.19 %,"2,303",10.48 %,"1,192",5.00 %,501,5.51 %,"2,510",11.54 %,"1,180",5.56 %,564,6.17 %,"2,130",9.62 %,970,4.39 %,533,5.54 %,"2,536",10.60 %,"1,100",4.56 %,570,5.29 %,"2,938",11.96 %,212,2.08 %,"1,389",5.72 %,563,5.26 %,"2,517",10.33 %,202,2.23 %,"1,012",4.28 %,456,5.24 %,"2,049",9.17 %,163,1.77 %,870,3.96 %,461,4.95 %,"2,524",11.36 %,189,2.07 %,"1,018",4.60 %,583,5.08 %,"2,174",9.91 %,241,2.30 %,880,4.03 %,598,5.05 %,"2,172",9.79 %,230,2.21 %,897,4.10 %,665,5.53 %,"2,527",11.30 %,270,2.43 %,"1,105",4.86 %,780,5.84 %,"2,794",11.83 %,207,1.82 %,969,4.06 %,778,5.77 %,"2,685",11.09 %,111,1.19 %,"1,135",4.73 %,,0.00 %,"5,263",23.25 %,,0.00 %,"1,701",7.52 %,419,6.37 %,"3,035",13.85 %,6,2.56 %,"1,221",5.61 %,28,1.47 %,"3,072",14.60 %,17,4.12 %,"1,461",6.78 %,42,2.12 %,"2,828",13.51 %,130,1.89 %,"1,695",8.39 %,749,9.28 %,"3,206",16.02 %,379,4.82 %,"1,749",8.85 %,577,6.80 %,"3,491",17.25 %,597,7.16 %,"2,088",10.54 %,995,11.40 %,"3,476",17.33 %,562,6.19 %,"1,845",9.54 %,870,9.56 %,"3,146",16.25 %,509,5.64 %,"1,551",8.46 %,909,10.13 %,"2,826",15.54 %,441,5.09 %,"1,457",8.43 %,898,10.21 %,"2,765",15.74 %,410,5.05 %,"1,015",6.22 %,599,6.48 %,"1,930",12.64 %,221,3.14 %,823,5.71 %,681,8.80 %,"2,158",15.34 %,380,5.36 %,"1,136",8.33 %,818,10.44 %,"2,393",17.48 %,734,9.41 %,"1,870",12.68 %,"1,432",14.60 %
Glendale,First-Time Transfer Student,510,6.83 %,"1,246",5.86 %,"1,031",4.86 %,287,11.62 %,893,4.46 %,787,4.00 %,460,8.14 %,"1,038",5.46 %,33,0.17 %,,0.00 %,961,5.29 %,904,4.73 %,423,7.67 %,"1,108",5.23 %,910,4.27 %,549,8.61 %,"1,144",5.21 %,"1,142",4.79 %,820,9.02 %,"1,349",6.20 %,"1,084",5.11 %,802,8.77 %,"1,360",6.14 %,"1,191",5.39 %,"1,002",10.42 %,"1,550",6.48 %,"1,263",5.24 %,"1,059",9.82 %,"2,003",8.15 %,332,3.26 %,"1,704",7.02 %,"1,000",9.34 %,"1,764",7.24 %,312,3.44 %,"1,367",5.77 %,814,9.35 %,"1,247",5.58 %,263,2.86 %,"1,138",5.18 %,739,7.93 %,"1,503",6.77 %,256,2.80 %,"1,233",5.57 %,945,8.24 %,"1,253",5.71 %,380,3.63 %,"1,215",5.56 %,983,8.30 %,"1,208",5.44 %,336,3.23 %,"1,250",5.71 %,"1,085",9.01 %,"1,533",6.85 %,379,3.41 %,"1,419",6.24 %,"1,141",8.54 %,"1,417",6.00 %,325,2.85 %,"1,216",5.09 %,"1,188",8.81 %,"1,496",6.18 %,229,2.45 %,"1,251",5.21 %,,0.00 %,"1,649",7.28 %,,0.00 %,568,2.51 %,461,7.01 %,"1,453",6.63 %,58,24.79 %,"1,168",5.36 %,13,0.68 %,"1,259",5.98 %,62,15.01 %,"1,324",6.14 %,23,1.16 %,"1,275",6.09 %,224,3.26 %,686,3.40 %,595,7.37 %,"1,452",7.25 %,318,4.05 %,"1,439",7.28 %,449,5.29 %,"1,785",8.82 %,334,4.01 %,"1,165",5.88 %,697,7.99 %,"1,425",7.11 %,314,3.46 %,"1,173",6.06 %,759,8.34 %,"1,354",6.99 %,342,3.79 %,"1,143",6.23 %,786,8.76 %,"1,237",6.80 %,307,3.54 %,934,5.40 %,692,7.87 %,"1,129",6.43 %,346,4.26 %,979,6.00 %,701,7.59 %,"1,136",7.44 %,320,4.55 %,805,5.58 %,501,6.48 %,871,6.19 %,268,3.78 %,709,5.20 %,578,7.37 %,884,6.46 %,340,4.36 %,848,5.75 %,576,5.87 %
Glendale,Returning Student,531,7.11 %,"1,293",6.08 %,"1,375",6.48 %,179,7.25 %,"1,061",5.30 %,"1,208",6.14 %,410,7.25 %,"1,130",5.95 %,40,0.21 %,,0.00 %,"1,226",6.75 %,"1,426",7.47 %,397,7.19 %,"1,365",6.44 %,"1,303",6.11 %,512,8.03 %,"1,567",7.13 %,"1,555",6.52 %,650,7.15 %,"1,676",7.71 %,"1,462",6.89 %,702,7.68 %,"1,663",7.51 %,"1,468",6.64 %,754,7.84 %,"1,663",6.95 %,"1,646",6.83 %,797,7.39 %,"2,017",8.21 %,168,1.65 %,"1,036",4.27 %,891,8.32 %,"1,710",7.02 %,230,2.54 %,887,3.75 %,747,8.58 %,"1,466",6.56 %,192,2.08 %,880,4.01 %,824,8.84 %,"1,865",8.40 %,227,2.49 %,"1,016",4.59 %,986,8.60 %,"1,428",6.51 %,278,2.65 %,980,4.49 %,"1,060",8.95 %,"1,468",6.62 %,287,2.76 %,899,4.11 %,"1,088",9.04 %,"1,810",8.09 %,297,2.67 %,"1,147",5.04 %,"1,222",9.15 %,"1,776",7.52 %,274,2.41 %,"1,174",4.91 %,"1,234",9.15 %,"1,882",7.78 %,177,1.89 %,"1,084",4.52 %,"5,099",51.54 %,"2,061",9.10 %,"1,127",15.19 %,523,2.31 %,335,5.09 %,"1,187",5.42 %,7,2.99 %,922,4.23 %,4,0.21 %,"1,110",5.28 %,19,4.60 %,"1,044",4.85 %,9,0.45 %,"1,193",5.70 %,147,2.14 %,625,3.09 %,244,3.02 %,"1,235",6.17 %,205,2.61 %,998,5.05 %,260,3.07 %,"1,344",6.64 %,541,6.49 %,"2,019",10.20 %,700,8.02 %,"2,055",10.25 %,622,6.85 %,"1,909",9.87 %,778,8.55 %,"2,042",10.55 %,629,6.97 %,"1,791",9.77 %,876,9.77 %,"2,060",11.33 %,600,6.93 %,"1,727",9.99 %,792,9.01 %,"1,972",11.22 %,556,6.85 %,"1,549",9.50 %,888,9.61 %,"1,769",11.59 %,450,6.40 %,"1,299",9.01 %,623,8.05 %,"1,611",11.45 %,515,7.26 %,"1,351",9.90 %,707,9.02 %,"1,482",10.82 %,591,7.57 %,"1,567",10.62 %,892,9.09 %
Glendale,Continuing Student,"3,269",43.76 %,"9,114",42.89 %,"9,787",46.13 %,"1,058",42.85 %,"8,584",42.85 %,"9,448",48.03 %,"3,043",53.84 %,"8,095",42.61 %,"12,275",63.88 %,"3,921",77.72 %,"8,085",44.49 %,"9,193",48.15 %,"2,997",54.31 %,"7,883",37.19 %,"8,967",42.03 %,"3,213",50.36 %,"7,779",35.41 %,"9,242",38.74 %,"3,553",39.10 %,"8,269",38.01 %,"9,514",44.82 %,"3,604",39.43 %,"8,709",39.35 %,"9,680",43.77 %,"3,899",40.53 %,"8,175",34.16 %,"9,811",40.69 %,"4,337",40.22 %,"8,634",35.15 %,"4,506",44.31 %,"11,205",46.18 %,"4,801",44.83 %,"9,966",40.90 %,"4,465",49.30 %,"12,052",50.91 %,"4,131",47.44 %,"9,955",44.55 %,"4,528",49.16 %,"11,295",51.42 %,"4,221",45.28 %,"8,707",39.20 %,"4,510",49.41 %,"10,679",48.24 %,"4,462",38.92 %,"9,358",42.67 %,"5,163",49.28 %,"10,829",49.58 %,"4,523",38.21 %,"9,246",41.67 %,"5,073",48.74 %,"10,746",49.10 %,"4,875",40.50 %,"9,326",41.69 %,"5,542",49.91 %,"11,373",50.02 %,"5,216",39.05 %,"9,836",41.66 %,"5,574",48.95 %,"12,152",50.86 %,"5,381",39.91 %,"10,593",43.77 %,"4,376",46.79 %,"12,870",53.65 %,"4,779",48.30 %,"13,361",59.02 %,"6,290",84.81 %,"19,390",85.75 %,"5,209",79.18 %,"11,050",50.44 %,161,68.80 %,"13,089",60.10 %,159,8.36 %,"10,759",51.14 %,312,75.54 %,"12,585",58.41 %,226,11.41 %,"10,585",50.57 %,"3,731",54.25 %,"12,086",59.84 %,"3,890",48.22 %,"11,083",55.37 %,"5,351",68.08 %,"12,679",64.16 %,"4,425",52.18 %,"10,539",52.07 %,"6,744",80.89 %,"13,818",69.78 %,"6,122",70.16 %,"12,476",62.22 %,"7,484",82.39 %,"13,818",71.41 %,"6,453",70.89 %,"12,056",62.28 %,"7,416",82.24 %,"13,158",71.77 %,"6,081",67.80 %,"11,319",62.24 %,"7,148",82.52 %,"12,433",71.90 %,"6,010",68.33 %,"10,770",61.30 %,"6,586",81.11 %,"11,800",72.36 %,"6,162",66.68 %,"9,419",61.70 %,"5,652",80.41 %,"10,343",71.74 %,"4,990",64.51 %,"8,444",60.03 %,"5,436",76.66 %,"9,267",67.91 %,"4,851",61.89 %,"7,863",57.43 %,"5,589",71.62 %,"9,138",61.95 %,"5,889",60.03 %
Glendale,Uncollected/Unreported,"2,274",30.44 %,"7,063",33.24 %,"7,389",34.83 %,545,22.07 %,"6,705",33.47 %,"6,785",34.50 %,"1,098",19.43 %,"6,059",31.89 %,"6,508",33.87 %,"1,119",22.18 %,"5,439",29.93 %,"6,278",32.88 %,"1,294",23.45 %,"8,359",39.43 %,"8,790",41.20 %,"1,561",24.47 %,"9,019",41.06 %,"10,531",44.14 %,"3,366",37.05 %,"7,737",35.57 %,"7,664",36.10 %,"3,203",35.04 %,"7,983",36.07 %,"8,304",37.55 %,"3,232",33.60 %,"9,726",40.65 %,"9,704",40.25 %,"3,718",34.48 %,"8,606",35.03 %,"4,873",47.92 %,"8,353",34.43 %,"3,090",28.85 %,"8,111",33.29 %,"3,788",41.82 %,"7,953",33.60 %,"2,295",26.36 %,"7,474",33.44 %,"4,020",43.65 %,"7,474",34.02 %,"2,761",29.62 %,"7,397",33.30 %,"3,905",42.78 %,"7,912",35.74 %,"4,157",36.26 %,"7,455",33.99 %,"4,351",41.53 %,"7,554",34.59 %,"4,330",36.58 %,"7,732",34.85 %,"4,419",42.46 %,"7,730",35.32 %,"3,902",32.42 %,"6,759",30.21 %,"4,535",40.84 %,"7,101",31.23 %,"4,517",33.81 %,"7,292",30.88 %,"4,940",43.38 %,"7,778",32.55 %,"4,535",33.63 %,"7,265",30.02 %,"4,413",47.18 %,"7,324",30.53 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,,0.00 %,"4,783",21.83 %,,0.00 %,"4,892",22.46 %,"1,538",80.90 %,"4,242",20.16 %,,0.00 %,"4,389",20.37 %,"1,512",76.33 %,"4,274",20.42 %,"2,275",33.08 %,"4,279",21.19 %,"2,019",25.02 %,"2,276",11.37 %,"1,227",15.61 %,"2,070",10.47 %,"2,192",25.85 %,"2,323",11.48 %,93,1.12 %,73,0.37 %,35,0.40 %,76,0.38 %,45,0.50 %,65,0.34 %,23,0.25 %,61,0.32 %,39,0.43 %,51,0.28 %,20,0.22 %,65,0.36 %,21,0.24 %,69,0.40 %,15,0.17 %,95,0.54 %,55,0.68 %,115,0.71 %,168,1.82 %,95,0.62 %,52,0.74 %,127,0.88 %,252,3.26 %,117,0.83 %,39,0.55 %,129,0.95 %,381,4.86 %,141,1.03 %,76,0.97 %,203,1.38 %,506,5.16 %
Glendale,Special Admit Student,135,1.81 %,233,1.10 %,280,1.32 %,46,1.86 %,246,1.23 %,319,1.62 %,118,2.09 %,288,1.52 %,303,1.58 %,5,0.10 %,152,0.84 %,222,1.16 %,28,0.51 %,146,0.69 %,190,0.89 %,86,1.35 %,154,0.70 %,195,0.82 %,196,2.16 %,211,0.97 %,325,1.53 %,265,2.90 %,287,1.30 %,501,2.27 %,200,2.08 %,278,1.16 %,585,2.43 %,301,2.79 %,368,1.50 %,79,0.78 %,577,2.38 %,364,3.40 %,296,1.21 %,60,0.66 %,400,1.69 %,264,3.03 %,157,0.70 %,44,0.48 %,310,1.41 %,315,3.38 %,218,0.98 %,41,0.45 %,277,1.25 %,333,2.90 %,262,1.19 %,63,0.60 %,382,1.75 %,344,2.91 %,360,1.62 %,63,0.61 %,366,1.67 %,421,3.50 %,415,1.86 %,80,0.72 %,594,2.61 %,482,3.61 %,497,2.10 %,68,0.60 %,606,2.54 %,368,2.73 %,282,1.17 %,47,0.50 %,327,1.36 %,16,0.16 %,305,1.35 %,,0.00 %,431,1.91 %,155,2.36 %,399,1.82 %,2,0.85 %,488,2.24 %,159,8.36 %,597,2.84 %,3,0.73 %,743,3.45 %,169,8.53 %,777,3.71 %,370,5.38 %,827,4.09 %,571,7.08 %,765,3.82 %,380,4.83 %,827,4.18 %,578,6.82 %,759,3.75 %,28,0.34 %,638,3.22 %,177,2.03 %,545,2.72 %,57,0.63 %,539,2.79 %,220,2.42 %,698,3.61 %,83,0.92 %,640,3.49 %,297,3.31 %,679,3.73 %,145,1.67 %,671,3.88 %,388,4.41 %,838,4.77 %,167,2.06 %,850,5.21 %,723,7.82 %,917,6.01 %,334,4.75 %,"1,020",7.07 %,688,8.89 %,865,6.15 %,453,6.39 %,"1,053",7.72 %,503,6.42 %,929,6.78 %,474,6.07 %,"1,124",7.62 %,515,5.25 %
