College Name,Segment Type,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
Pasadena,In-State-Private (ISP) ,1,5,40,78,154,174,175,211,192,211,210,212,207,346,251,269,344,316,386,294,366,308,294,235,191,171,159,115
Pasadena,Out-of-State (OOS) ,,6,8,25,55,89,89,152,181,206,225,200,262,268,290,307,324,304,325,304,305,293,264,248,284,255,225,194
