,,2014-2015,2014-2015,2015-2016,2015-2016,2016-2017,2016-2017,2017-2018,2017-2018,2018-2019,2018-2019,2019-2020,2019-2020,2020-2021,2020-2021,2021-2022,2021-2022
State Name,College Name,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) ,In-State-Private (ISP) ,Out-of-State (OOS) 
State of California,Moorpark,267,398,205,346,166,317,129,286,114,264,92,235,80,235,57,175
State of California,Moreno Valley,2,5,6,9,4,7,20,10,21,16,9,10,13,17,14,18
State of California,Mt San Antonio,425,396,320,351,285,366,291,310,299,348,259,380,248,356,248,287
State of California,Mt. San Jacinto,152,275,124,213,111,196,103,194,87,172,58,201,67,182,43,163
State of California,Napa,39,55,33,82,27,76,23,64,19,56,19,64,14,81,14,61
State of California,Norco College,18,11,13,25,6,18,13,11,17,14,16,22,14,14,17,18
State of California,North Orange Adult,64,76,45,67,48,69,56,90,42,79,44,102,39,90,43,75
State of California,Ohlone,79,155,69,152,53,123,42,122,41,102,27,100,27,94,18,90
State of California,Orange Coast,215,313,126,233,101,222,107,192,81,215,58,179,56,186,43,144
State of California,Oxnard,72,97,48,100,54,90,48,90,43,70,42,76,36,74,32,82
State of California,Palo Verde,12,32,15,30,8,25,9,24,10,20,6,31,4,31,3,16
State of California,Palomar,207,460,193,398,138,356,124,321,112,343,105,330,109,319,72,271
State of California,Pasadena,366,305,308,293,294,264,235,248,191,284,171,255,159,225,115,194
State of California,Porterville,42,50,50,50,56,51,52,47,49,54,41,61,21,53,25,42
State of California,Rancho Santiago CED,40,60,25,65,29,52,31,52,31,43,19,49,27,50,17,35
State of California,Redwoods,23,95,18,83,12,78,17,87,7,56,5,79,8,83,8,65
State of California,Reedley College,86,132,72,114,100,104,85,96,71,107,75,103,54,102,54,99
State of California,Rio Hondo,145,158,116,137,111,116,94,106,83,134,94,153,108,146,82,125
State of California,Riverside,268,376,240,338,190,300,156,283,156,308,139,289,106,286,102,215
State of California,Sacramento City,50,158,51,173,38,131,45,134,33,140,33,131,16,120,17,104
State of California,Saddleback,115,186,79,191,59,178,60,153,56,147,63,191,67,179,60,159
State of California,San Bernardino,115,182,122,168,94,165,107,150,94,130,86,152,87,129,62,138
State of California,San Diego Adult,81,106,64,99,52,97,55,96,47,92,42,76,39,79,20,79
State of California,San Diego City,89,164,78,133,68,123,46,88,53,113,47,108,47,120,35,84
State of California,San Diego Mesa,140,232,117,218,94,192,102,197,102,201,75,204,84,182,60,151
State of California,San Diego Miramar,68,118,64,100,38,103,35,88,54,126,43,147,52,139,35,77
State of California,San Francisco,140,184,89,174,96,164,74,152,81,150,79,154,66,137,56,165
State of California,San Francisco Ctrs,71,67,46,65,49,62,26,73,39,75,51,67,26,57,17,63
